JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Meureubo,"96,153","4,15",Aceh,Aceh Barat,Beroperasi,,Meureubo,ok
Puskesmas,Kuta Tinggi,"9,807,122","244,681",Aceh,Aceh Singkil,Beroperasi,,,invalid_coords
Puskesmas,Pulau Banyak,"9,739,932","230,692",Aceh,Aceh Singkil,Beroperasi,,,invalid_coords
Puskesmas,Peukan Bada,"952,527","552,894",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Jeumpa,"9,664,445","520,232",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Trienggadeng,"9,618,751","525,397",Aceh,Pidie Jaya,Beroperasi,,,invalid_coords
Puskesmas,Dabun Gelang,"973,544","401,792",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Blang Bintang,"9,541,341","551,709",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Peulimbang,"9,653,182","518,648",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Drien Jalo,"970,724","348,959",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Babussalam,"974,924","32,803",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Kuta Baharu,"9,787,802","245,409",Aceh,Aceh Singkil,Beroperasi,,,invalid_coords
Puskesmas,Blangjerango,"9,728,057","402,103",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Trumon,"9,762,468","282,815",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Kota Kutacane,"9,781,007","348,629",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Peudawa,"9,780,758","488,303",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Suak Ribee,"96,117","4,154",Aceh,Aceh Barat,Beroperasi,,Suakribee,ok
Puskesmas,Mutiara,"95,992","528,554",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Ngkeran,"9,782,549","342,574",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Simpang Tiga,"9,688,189","473,458",Aceh,Bener Meriah,Beroperasi,,,invalid_coords
Puskesmas,Syamtalira Bayu,"97,186","511,764",Aceh,Aceh Utara,Beroperasi,,,invalid_coords
Puskesmas,Lawe Dua,"9,788,005","342,632",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Pamar,"9,636,483","467,063",Aceh,Aceh Tengah,Beroperasi,,,invalid_coords
Puskesmas,Pante Bidari,"9,752,061","50,614",Aceh,Aceh Timur,Beroperasi,,,no_data
Puskesmas,Bakal Buah,"9,793,214","267,982",Aceh,Kota Subulussalam,Beroperasi,,,invalid_coords
Puskesmas,Silih Nara,"9,672,393","462,357",Aceh,Aceh Tengah,Beroperasi,,,invalid_coords
Puskesmas,Alue Rambot,"9,668,372","402,769",Aceh,Nagan Raya,Beroperasi,,,invalid_coords
Puskesmas,Sapta Jaya,"9,812,481","426,373",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Langsa Barat,"9,797,083","452,187",Aceh,Kota Langsa,Beroperasi,,,invalid_coords
Puskesmas,Kuta Panjang,"9,728,057","402,103",Aceh,Gayo Lues,Beroperasi,,,invalid_coords
Puskesmas,Samar Kilang,"9,727,499","467,654",Aceh,Bener Meriah,Beroperasi,,,invalid_coords
Puskesmas,Pante Raja,"9,613,492","527,368",Aceh,Pidie Jaya,Beroperasi,,,invalid_coords
