label,nama,objectid,fid2,nama2,jenis,statusjln,nama_provinsi,nama_kabupaten,keterangan,dampak,status1,penanganan,target_selesai,bailey,latitude,longitude,baseline_sumber
Jl. Krueng Geukueh – Batas Bener Meriah,01bb030c-d48e-43bd-a55e-30956ff5195f,122,120,Jl. Krueng Geukueh – Batas Bener Meriah,Jalan,Daerah,Aceh,Kab. Aceh Utara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.750813047000008,96.95021050800005,BNPB/PU
Jl. Peureulak – Lokop – Batas Gayo Lues,3eb4d16c-8969-4c03-8ba4-632d3896bc3c,123,121,Jl. Peureulak – Lokop – Batas Gayo Lues,Jalan,Daerah,Aceh,Kab. Aceh Timur,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.623870100000033,97.67468660000003,BNPB/PU
Jl. Batas Aceh Timur – Kota Karang Baru,b77b0913-2ce9-416a-902a-f28a96e24c1e,124,122,Jl. Batas Aceh Timur – Kota Karang Baru,Jalan,Daerah,Aceh,Kab. Aceh Tamiang,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.3377673800000025,98.07196927900003,BNPB/PU
Jl. Batas Aceh Utara – Bandara Rembele,e780b71d-85e9-406a-9db7-089c6028f53f,125,123,Jl. Batas Aceh Utara – Bandara Rembele,Jalan,Daerah,Aceh,Kab. Bener Meriah,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.727934830000038,96.84907868200003,BNPB/PU
Jl. Batas Aceh Timur – Pining – Blangkejeren,7c8b8eb8-2c38-40eb-bfe5-b3c61a2d19df,126,124,Jl. Batas Aceh Timur – Pining – Blangkejeren,Jalan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.99517800000001,97.34160510000004,BNPB/PU
Jl. Blangkejeren – Tongra – Batas Aceh Barat Daya,95b81e2a-0317-44c1-a5dd-10d0435b7af5,127,125,Jl. Blangkejeren – Tongra – Batas Aceh Barat Daya,Jalan,Daerah,Aceh,Kab. Gayo Lues,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,3.878600526000014,97.44754475200006,BNPB/PU
Jl. Batas Aceh Selatan – Rundeng,a8c28bc3-2175-4925-b715-6fd9c7f284ef,128,126,Jl. Batas Aceh Selatan – Rundeng,Jalan,Daerah,Aceh,Kota Subulussalam,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,2.6266472430000363,98.06743552200004,BNPB/PU
Jl. Trieng Gadeng – Batas Bireuen,59d8e2c3-f593-4ce1-a75d-8f08c740b94e,129,127,Jl. Trieng Gadeng – Batas Bireuen,Jalan,Daerah,Aceh,Kab. Pidie Jaya,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.259028000000001,96.18348860000003,BNPB/PU
Jl. Krueng Mane – Sawang – Batas Bireuen,54fff515-0f6c-4db6-b37f-6ef801659001,130,128,Jl. Krueng Mane – Sawang – Batas Bireuen,Jalan,Daerah,Aceh,Kab. Aceh Utara,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,5.194636200000048,96.8042542,BNPB/PU
Jl. Simpang Tiga Redelong – Pondok Baru – Samar Kilang,95fc23e6-1e2f-49bd-b7b2-b9039e151729,131,129,Jl. Simpang Tiga Redelong – Pondok Baru – Samar Kilang,Jalan,Daerah,Aceh,Kab. Bener Meriah,9223372036854775807,9223372036854775807,Akses Terputus,9223372036854775807,,,4.736746600000004,96.88459780000005,BNPB/PU
